# VectorBase gene synonyms
# Description: Catalogue of gene synonyms for Aedes aegypti from community submissions and citations
# Species: Aedes aegypti
# Genebuild: AaegL1.4
# Date: VB-2013-08
# Author: Dan Lawson lawson@ebi.ac.uk
#
AAEL016970	GPROR1
AAEL005999	GPROR2
AAEL017138	GPROR3
AAEL015147	GPROR4
AAEL011843	GPROR5
AAEL017548	GPROR6
AAEL005776	GPROR7
AAEL012254	GPROR8
AAEL006005	GPROR9
AAEL006003	GPROR10
AAEL011583	GPROR11
AAEL009982	GPROR12
AAEL008368	GPROR13
AAEL008442	GPROR14
AAEL008448	GPROR15
AAEL007110	GPROR16
AAEL010702	GPROR17
AAEL017510	GPROR18
AAEL017017	GPROR19
AAEL004966	GPROR20
AAEL017398	GPROR21
AAEL001510	GPROR23
AAEL017557	GPROR24
AAEL003629	GPROR25
AAEL010428	GPROR26
AAEL010418	GPROR27
AAEL000391	GPROR28
AAEL010409	GPROR30
AAEL013217	GPROR32
AAEL017362	GPROR33
AAEL003395	GPROR34
AAEL015310	GPROR35
AAEL016981	GPROR36
AAEL003369	GPROR37
AAEL006345	GPROR39
AAEL005767	GPROR40
AAEL003045	GPROR41
AAEL000616	GPROR42
AAEL012141	GPROR43
AAEL006465	GPROR44
AAEL000613	GPROR45
AAEL017174	GPROR46
AAEL017079	GPROR47
AAEL011895	GPROR48
AAEL001303	GPROR49
AAEL010426	GPROR50
AAEL013507	GPROR52
AAEL010415	GPROR55
AAEL017534	GPROR56
AAEL006202	GPROR58
AAEL001342	GPROR59
AAEL017041	GPROR60
AAEL017277	GPROR61
AAEL011796	GPROR62
AAEL000628	GPROR63
AAEL015506	GPROR65
AAEL017227	GPROR66
AAEL017260	GPROR67
AAEL001221	GPROR69
AAEL001224	GPROR70
AAEL017564	GPROR71
AAEL017129	GPROR72
AAEL006195	GPROR74
AAEL013419	GPROR75
AAEL013418	GPROR76
AAEL013423	GPROR78
AAEL013420	GPROR79
AAEL017221	GPROR80
AAEL017305	GPROR81
AAEL017043	GPROR84
AAEL004218	GPROR85
AAEL017246	GPROR86
AAEL017347	GPROR87
AAEL014197	GPROR88
AAEL017125	GPROR89
AAEL017037	GPROR90
AAEL017149	GPROR91
AAEL017065	GPROR92
AAEL017296	GPROR93
AAEL017201	GPROR94
AAEL017495	GPROR95
AAEL017427	GPROR96
AAEL017000	GPROR97
AAEL017463	GPROR98
AAEL017236	GPROR99
AAEL011409	GPROR100
AAEL017050	GPROR101
AAEL017143	GPROR102
AAEL017505	GPROR103
AAEL016966	GPROR104
AAEL017014	GPROR105
AAEL017105	GPROR106
AAEL017316	GPROR107
AAEL017028	GPROR109
AAEL016983	GPROR110
AAEL017178	GPROR111
AAEL017123	GPROR113
AAEL017219	GPROR114
AAEL017361	GPROR115
AAEL017377	GPROR117
AAEL017009	GPROR119
AAEL017104	GPROR121
AAEL013563	GPROR122
AAEL017537	GPROR123
AAEL001617	GPROR124
AAEL013893	GPROR125
AAEL017370	GPROR126
AAEL017271	GPROR127
AAEL017285	GPROR130
AAEL013407	CAT1A, CAT1B
AAEL017056	PGRPS5
AAEL016993	GPR5HT7
AAEL012190	GPRNPY5_1, GPRNPY5_2
AAEL017005	GPRNPY6A, GPRNPY6B
AAEL012601	GPRNPY8_1, GPRNPY8_2
AAEL009698	GPRSIF1A, GPRSIF1B
AAEL003035	GPROP9_1, GPROP9_2
AAEL002380	GPRgr1
AAEL002167	GPRgr2
AAEL010058	GPRgr3
AAEL000048	GPRgr4
AAEL000012	GPRgr6
AAEL000060	GPRgr7
AAEL000075	GPRgr9
AAEL000082	GPRgr10
AAEL011174	GPRgr11
AAEL011571	GPRgr14
AAEL017304	GPRgr15
AAEL017230	GPRgr16
AAEL017097	GPRgr17
AAEL017327	GPRgr18
AAEL011073	GPRgr19a
AAEL007935	GPRgr20
AAEL013192	GPRgr21
AAEL013190	GPRgr22
AAEL013196	GPRgr23
AAEL013193	GPRgr25
AAEL013195	GPRgr26
AAEL015556	GPRgr27
AAEL010277	GPRgr28
AAEL010275	GPRgr29
AAEL007933	GPRgr31C
AAEL017063	GPRgr32
AAEL017446	GPRgr33a
AAEL000162	GPRgr34
AAEL017415	GPRgr35
AAEL017169	GPRgr36
AAEL017235	GPRgr37
AAEL017206	GPRgr39
AAEL006500	GPRgr41
AAEL017449	GPRgr42
AAEL017182	GPRgr43
AAEL017569	GPRgr44
AAEL006494	GPRgr45
AAEL017092	GPRgr46
AAEL017408	GPRgr47
AAEL017488	GPRgr49
AAEL017304	GPRgr51
AAEL010279	GPRgr53
AAEL017364	GPRgr54
AAEL010274	GPRgr55
AAEL010278	GPRgr56
AAEL010272	GPRgr57
AAEL017324	GPRgr58
AAEL013200	GPRgr59
AAEL017450	GPRgr60
AAEL017202	GPRgr61
AAEL017040	GPRgr62
AAEL017565	GPRgr63
AAEL007142	GPRgr64l
AAEL017295	GPRgr65
AAEL017394	GPRgr66
AAEL017158	GPRgr67
AAEL017527	GPRgr68
AAEL017441	GPRgr69
AAEL017432	GPRgr70
AAEL017307	GPRgr71l
AAEL017216	GPRgr72l
AAEL010962	GPRgr73l
AAEL017476	GPRgr74
AAEL009545	GPRgr76
AAEL007940	GPRgr77
AAEL017312	GPRgr78
AAEL017486	GPRgr79
AAEL008932	Irk1
AAEL008931	Irk2
AAEL008928	Irk2
AAEL013373	Irk2
AAEL001646	Irk3
